source_name,url,topic,jurisdiction,priority,notes
What Happens If I Have an Eviction on My Record (ILAO),https://www.illinoislegalaid.org/legal-information/what-happens-if-i-have-eviction-my-record,housing,illinois,High,eviction record sealing + tenant screening reports
Written Eviction Notices (ILAO),https://www.illinoislegalaid.org/legal-information/written-eviction-notices,housing,illinois,High,notice types and required timelines before eviction
Ending a Lease (ILAO),https://www.illinoislegalaid.org/legal-information/ending-lease,housing,illinois,Medium,breaking or ending a lease early and notice rules
Addressing Lease Violations (ILAO),https://www.illinoislegalaid.org/legal-information/addressing-lease-violations,housing,illinois,Medium,cure-or-quit notices and tenant responses to violations
Illinois Child Care Assistance Program CCAP (IDHS),https://www.dhs.state.il.us/page.aspx?item=104995,benefits,illinois,High,CCAP eligibility and how to apply for childcare help
AABD Benefits for Older Adults and People with Disabilities (ILAO),https://www.illinoislegalaid.org/legal-information/aabd-benefits-older-adults-and-people-disabilities,benefits,illinois,High,cash + medical aid for aged/blind/disabled (elders theme)
Appealing an Unemployment Denial (ILAO),https://www.illinoislegalaid.org/legal-information/appealing-ides-unemployment-decision,benefits,illinois,High,how to appeal an IDES denial - referee and Board of Review
Medicaid Common Questions (ILAO),https://www.illinoislegalaid.org/legal-information/medicaid-common-questions,benefits,illinois,Medium,Medicaid eligibility and coverage FAQ
IHDA Saving My Home - Foreclosure Prevention,https://www.ihda.org/my-home/saving-my-home/,money_debt,illinois,High,free foreclosure prevention counseling for homeowners
Utility Shutoff in Chicago (ILAO),https://www.illinoislegalaid.org/legal-information/utility-shutoff-chicago,money_debt,chicago-il,Medium,Chicago utility shutoff protections and reconnection
Get Legal Help in Cook County (ILAO),https://www.illinoislegalaid.org/legal-information/get-legal-help-cook-county,resources,cook-county-il,High,county-specific legal aid routing directory
