"key","English (source)","Chinese","status (OK / FIX)","suggested correction","notes"
"language.label","LANGUAGE","语言","","",""
"language.selectAria","Language selection","语言选择","","",""
"mt.notice","These translations are machine-assisted and being reviewed by native speakers.","这些翻译由机器辅助生成，正在由母语人士审核。","","",""
"skip.toMain","Skip to main content","跳到主要内容","","",""
"brand.homeAria","Rights Within Reach home","Rights Within Reach 首页","","",""
"nav.home","Home","主页","","",""
"nav.topics","Topics","主题","","",""
"nav.resources","Resources","资源","","",""
"nav.askQuestion","Ask a question →","提问 →","","",""
"nav.mainAria","Main","主导航","","",""
"nav.contrast","High contrast","高对比度","","",""
"deadline.crumb","Deadline helper","截止日期计算器","","",""
"deadline.title","Deadline helper","截止日期计算器","","",""
"deadline.sub","Enter the date something happened and how many days you have. This is a date calculator, not legal advice.","输入事情发生的日期以及你有多少天。这是日期计算器，而非法律建议。","","",""
"deadline.startDate","Start date","开始日期","","",""
"deadline.days","Number of days","天数","","",""
"deadline.bizOnly","Count business days only (skip weekends)","仅计算工作日（跳过周末）","","",""
"deadline.calc","Calculate deadline","计算截止日期","","",""
"deadline.result","Your deadline is:","您的截止日期是：","","",""
"deadline.disclaimer","This tool just adds days to a date. When the clock starts, whether weekends and holidays count, and the exact number of days depend on your situation and the law. Confirm with your answer above or a legal aid organization.","此工具只是将天数加到日期上。计时何时开始、是否计入周末和节假日，以及确切天数，取决于您的情况和法律。请与上面的回答或法律援助机构确认。","","",""
"footer.deadline","Deadline helper","截止日期计算器","","",""
"nav.biggerText","Toggle larger text size","切换更大的文字","","",""
"bottomnav.housing","Housing","住房","","",""
"bottomnav.money","Money","金钱","","",""
"bottomnav.repairs","Repairs","维修","","",""
"bottomnav.benefits","Benefits","福利","","",""
"bottomnav.resources","Resources","资源","","",""
"bottomnav.ask","Ask","提问","","",""
"bottomnav.aria","Section navigation","栏目导航","","",""
"chat.back","Back","返回","","",""
"chat.goBack","Go back","返回","","",""
"chat.readAloud","Read this page aloud","朗读本页","","",""
"chat.readAnswer","Read this answer aloud","朗读这个回答","","",""
"chat.stopReading","Stop reading","停止朗读","","",""
"chat.answerLabel","Answer","回答","","",""
"chat.nextSteps","Next steps","下一步","","",""
