"key","English (source)","Tagalog","status (OK / FIX)","suggested correction","notes"
"language.label","LANGUAGE","WIKA","","",""
"language.selectAria","Language selection","Pagpili ng wika","","",""
"mt.notice","These translations are machine-assisted and being reviewed by native speakers.","Ang mga pagsasaling ito ay tinutulungan ng makina at sinusuri ng mga katutubong nagsasalita.","","",""
"skip.toMain","Skip to main content","Lumaktaw sa pangunahing nilalaman","","",""
"brand.homeAria","Rights Within Reach home","Home ng Rights Within Reach","","",""
"nav.home","Home","Tahanan","","",""
"nav.topics","Topics","Mga Paksa","","",""
"nav.resources","Resources","Mga Mapagkukunan","","",""
"nav.askQuestion","Ask a question →","Magtanong →","","",""
"nav.mainAria","Main","Pangunahin","","",""
"nav.contrast","High contrast","Mataas na kaibahan","","",""
"deadline.crumb","Deadline helper","Kalkulator ng deadline","","",""
"deadline.title","Deadline helper","Kalkulator ng deadline","","",""
"deadline.sub","Enter the date something happened and how many days you have. This is a date calculator, not legal advice.","Ilagay ang petsa ng nangyari at ilang araw ang mayroon ka. Isa itong kalkulator ng petsa, hindi legal na payo.","","",""
"deadline.startDate","Start date","Petsa ng simula","","",""
"deadline.days","Number of days","Bilang ng araw","","",""
"deadline.bizOnly","Count business days only (skip weekends)","Bilangin lang ang mga araw ng trabaho (laktawan ang weekend)","","",""
"deadline.calc","Calculate deadline","Kalkulahin ang deadline","","",""
"deadline.result","Your deadline is:","Ang iyong deadline ay:","","",""
"deadline.disclaimer","This tool just adds days to a date. When the clock starts, whether weekends and holidays count, and the exact number of days depend on your situation and the law. Confirm with your answer above or a legal aid organization.","Idinadagdag lang ng tool na ito ang mga araw sa isang petsa. Kung kailan nagsisimula ang pagbilang, kung kasama ang weekend at holiday, at ang eksaktong bilang ng araw ay depende sa iyong sitwasyon at sa batas. Kumpirmahin sa sagot sa itaas o sa isang organisasyon ng tulong legal.","","",""
"footer.deadline","Deadline helper","Kalkulator ng deadline","","",""
"nav.biggerText","Toggle larger text size","I-toggle ang mas malaking laki ng teksto","","",""
"bottomnav.housing","Housing","Pabahay","","",""
"bottomnav.money","Money","Pera","","",""
"bottomnav.repairs","Repairs","Pag-aayos","","",""
"bottomnav.benefits","Benefits","Mga Benepisyo","","",""
"bottomnav.resources","Resources","Mapagkukunan","","",""
"bottomnav.ask","Ask","Magtanong","","",""
"bottomnav.aria","Section navigation","Nabigasyon ng seksyon","","",""
"chat.back","Back","Bumalik","","",""
"chat.goBack","Go back","Bumalik","","",""
"chat.readAloud","Read this page aloud","Basahin nang malakas ang pahinang ito","","",""
"chat.readAnswer","Read this answer aloud","Basahin nang malakas ang sagot na ito","","",""
"chat.stopReading","Stop reading","Itigil ang pagbasa","","",""
"chat.answerLabel","Answer","Sagot","","",""
"chat.nextSteps","Next steps","Mga susunod na hakbang","","",""
"chat.whoToContact","Who to contact & how","Sino ang kokontakin at paano","","",""
"chat.welcome","Ask about housing, money, home repairs, or public benefits. Every answer cites the law and points you to real help — in your language.","Magtanong tungkol sa pabahay, pera, pag-aayos ng bahay, o pampublikong benepisyo. Bawat sagot ay sumisipi sa batas at itinuturo ka sa tunay na tulong — sa iyong wika.","","",""
"chat.suggestAria","Suggested follow-up questions","Mga iminumungkahing follow-up na tanong","","",""
"chat.refuseAria","Out of scope — who to call instead","Wala sa saklaw — sino ang tatawagan","","",""
"triage.aria","Guided questions","Mga gabay na tanong","","",""
"chat.confidence","Confidence","Kumpiyansa","","",""
"chat.confidenceHelp","How well our sources support this answer","Gaano kahusay sinusuportahan ng aming mga mapagkukunan ang sagot na ito","","",""
"chat.conf.high","High","Mataas","","",""
"chat.conf.medium","Medium — double-check to be sure","Katamtaman — tiyakin muna","","",""
"chat.conf.low","Low — please verify with an organization","Mababa — pakitiyak sa isang organisasyon","","",""
"chat.webSource","Web","Web","","",""
"chat.webChecked","Checked on the web","Tiningnan sa web","","",""
"speak.noVoice","No voice for this language is installed on your device, so it will be read in a default voice.","Walang naka-install na boses para sa wikang ito sa iyong device, kaya babasahin ito sa default na boses.","","",""
"triage.area.prompt","Where do you live? This helps us point you to the right local help.","Saan ka nakatira? Tumutulong ito na ituro ka sa tamang lokal na tulong.","","",""
"triage.area.chicago","Chicago","Chicago","","",""
"triage.area.suburbanCook","Suburban Cook County","Suburban Cook County","","",""
