source_name,url,topic,jurisdiction,priority,status,date_ingested,chunk_count,last_checked,permission_status,notes
Illinois Wage Payment and Collection Act,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=2402&ChapterID=68,money_debt,illinois,High,live,2026-06-26,1,2026-06-26,,covers unpaid wages and final paycheck rules
Illinois Consumer Fraud and Deceptive Business Practices Act,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=2266&ChapterID=67,money_debt,illinois,High,dead,,0,2026-06-26,,foundational consumer protection statute
Illinois Collection Agency Act,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=1325&ChapterID=24,money_debt,illinois,High,live,2026-06-26,1,2026-06-26,,governs licensed debt collectors in IL
Federal Fair Debt Collection Practices Act (FDCPA),https://www.consumerfinance.gov/rules-policy/regulations/1006/,money_debt,federal,High,live,2026-06-26,1,2026-06-26,,CFPB Regulation F covering debt collector conduct
Illinois Wage Garnishment Exemptions (735 ILCS 5/12-803),https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=073500050K12-803,money_debt,illinois,High,live,2026-06-26,1,2026-06-26,,exemption amounts from wage garnishment
Illinois Predatory Loan Prevention Act,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=4138&ChapterID=20,money_debt,illinois,High,live,2026-06-26,1,2026-06-26,,36 percent APR cap on consumer loans
Illinois Commerce Commission Utility Shutoff Rules (83 IAC 280),https://www.icc.illinois.gov/rules/83-iac-280,money_debt,illinois,High,dead,,0,2026-06-26,,winter shutoff moratorium and payment plan rules
Illinois LIHEAP Program (utility assistance),https://dceo.illinois.gov/communityservices/utilitybillassistance.html,money_debt,illinois,High,live,2026-06-26,2,2026-06-26,,emergency utility bill assistance
ComEd CHAMP and PIPP Programs,https://www.comed.com/SmartEnergy/SmartIdeas/Pages/IncomeEligible.aspx,money_debt,illinois,Medium,empty,,0,2026-06-26,,low income utility payment assistance
Peoples Gas Share the Warmth,https://www.peoplesgasdelivery.com/save-money-energy/payment-assistance,money_debt,illinois,Medium,dead,,0,2026-06-26,,gas bill assistance program
ILAO Debt Collection Self Help,https://www.illinoislegalaid.org/legal-information/debt-and-money,money_debt,illinois,Medium,dead,,0,2026-06-26,,plain language guide from ILAO
CARPLS Legal Aid Hotline,https://www.carpls.org,money_debt,chicago-il,High,live,2026-06-26,2,2026-06-26,,Cook County free legal advice hotline referral
City of Chicago Home Repair Program,https://www.chicago.gov/city/en/depts/doh/provdrs/homeowners/svcs/home-repair-program.html,housing_repair,chicago-il,High,live,2026-06-26,2,2026-06-28,,grants up to 50 percent AMI for porch and roof; url slug fixed (underscores→hyphens)
Small Accessible Repairs for Seniors (SARFS),https://www.chicago.gov/city/en/depts/fss/provdrs/serv/svcs/small_accessible_repairsforseniors.html,housing_repair,chicago-il,High,dead,,0,2026-06-26,,for Chicago residents 60+ at 80 percent AMI
Emergency Heating Repair Program (EHRP),https://www.chicago.gov/city/en/depts/fss/provdrs/serv/svcs/emergency_heatingrepairprogram.html,housing_repair,chicago-il,High,dead,,0,2026-06-26,,winter heating system emergency grants
Critical Home Improvement Program (CHIP),https://www.chicagobungalow.org/programs,housing_repair,chicago-il,High,live,2026-06-26,17,2026-06-26,,up to 15k in select South Side neighborhoods
Chicago HomeMod Program (MOPD),https://www.chicago.gov/city/en/depts/mopd/provdrs/independence/svcs/homemod.html,housing_repair,chicago-il,High,dead,,0,2026-06-26,,accessibility mods for residents with disabilities
