source_name,url,topic,jurisdiction,priority,notes
Rent Changes in Subsidized Housing (ILAO),https://www.illinoislegalaid.org/legal-information/rent-changes-subsidized-housing,housing,illinois,High,how rent is recalculated in Section 8 / public housing
Housing Assistance and Public Housing (ILAO),https://www.illinoislegalaid.org/legal-information/housing-assistance-and-public-housing,housing,illinois,High,overview of subsidized housing programs and rights
Keeping a Section 8 Housing Voucher (ILAO),https://www.illinoislegalaid.org/legal-information/keeping-section-8-housing-voucher,housing,illinois,High,obligations to avoid losing an HCV voucher
Housing Programs for Minors and People with Disabilities (ILAO),https://www.illinoislegalaid.org/legal-information/housing-programs-minors-and-people-disabilities,housing,illinois,Medium,accessible/supportive housing programs
Housing Protections for Survivors of Domestic Violence (ILAO),https://www.illinoislegalaid.org/legal-information/housing-protections-survivors-domestic-violence-dating-violence-stalking-and,housing,illinois,High,Safe Homes Act - break lease and lock changes
Evicting Friends Unmarried Partners and Family Members (ILAO),https://www.illinoislegalaid.org/legal-information/evicting-friends-unmarried-partners-and-adult-family-members,housing,illinois,Medium,removing a non-leaseholder from a home
Identity Theft and Coerced Debt (ILAO),https://www.illinoislegalaid.org/legal-information/identity-theft-and-coerced-debt,money_debt,illinois,High,disputing debt from identity theft or coercion
Disputing Inaccurate Information on Your Credit Report (ILAO),https://www.illinoislegalaid.org/legal-information/information-included-credit-report,money_debt,illinois,High,how to dispute credit report and background check errors
How to Prevent Fraud (ILAO),https://www.illinoislegalaid.org/legal-information/how-prevent-fraud,money_debt,illinois,Medium,recognizing and avoiding consumer scams
SNAP Work Requirements (ILAO),https://www.illinoislegalaid.org/legal-information/snap-work-requirements,benefits,illinois,High,ABAWD 80-hour work rules starting Feb 2026
Applying for SNAP Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/applying-food-stamps-snap-benefits,benefits,illinois,High,step-by-step SNAP application
Applying for TANF Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/applying-tanf-benefits,benefits,illinois,High,how to apply for TANF cash assistance
Getting Temporary Financial Help with TANF (ILAO),https://www.illinoislegalaid.org/legal-information/getting-temporary-financial-help-tanf,benefits,illinois,Medium,TANF overview and eligibility
TANF Payment Levels (ILAO),https://www.illinoislegalaid.org/legal-information/tanf-payment-levels,benefits,illinois,Medium,how much TANF pays by family size
General Assistance (ILAO),https://www.illinoislegalaid.org/legal-information/general-assistance-common-questions,benefits,illinois,Medium,local General Assistance cash help
Emergency Cash Assistance for Crisis Victims (ILAO),https://www.illinoislegalaid.org/legal-information/how-can-i-get-cash-assistance-victim-crisis,benefits,illinois,Medium,emergency/crisis cash assistance options
Court Fees and Fee Waivers Basics (ILAO),https://www.illinoislegalaid.org/legal-information/court-fees-and-fee-waivers-basics,resources,illinois,High,how to ask a court to waive filing fees
Filing Court Papers for Free (ILAO),https://www.illinoislegalaid.org/legal-information/filing-court-papers-free,resources,illinois,High,e-filing and fee-waiver how-to for self-represented people
