source_name,url,topic,jurisdiction,priority,notes
Responding to Debt Collectors (ILAO),https://www.illinoislegalaid.org/legal-information/my-rights-under-fair-debt-collection-practices-act,money_debt,illinois,High,debt collection rights + Collection Agency Act licensing
Debt Collections Resources (ILAO),https://www.illinoislegalaid.org/legal-information/debt-collections,money_debt,illinois,High,overview of debt-collection help
What Are Payday Loans (ILAO),https://www.illinoislegalaid.org/legal-information/what-are-payday-loans,money_debt,illinois,High,36% PLPA cap + payday rules
Basics of Public Utilities During Winter (ILAO),https://www.illinoislegalaid.org/legal-information/basics-public-utilities-during-winter,money_debt,illinois,High,winter utility shutoff moratorium
Illinois AG Consumer Protection - Finance and Credit,https://illinoisattorneygeneral.gov/consumer-protection/finance-and-credit/,money_debt,illinois,Medium,AG consumer finance protections
Responding to a Debt Collection Lawsuit (ILAO),https://www.illinoislegalaid.org/legal-information/responding-debt-collection-lawsuit-basics,money_debt,illinois,High,how to answer a debt lawsuit
Receiving a Debt Collection Lawsuit (ILAO),https://www.illinoislegalaid.org/legal-information/receiving-debt-collection-lawsuit-basics,money_debt,illinois,High,what to do when served
Can a Debt Collector Sue You (ILAO),https://www.illinoislegalaid.org/legal-information/can-collection-agency-sue-you,money_debt,illinois,Medium,statute of limitations on debt
Medical Bills and Debt (ILAO),https://www.illinoislegalaid.org/legal-information/medical-bills-and-debt,money_debt,illinois,High,Fair Patient Billing Act + hospital financial assistance
Dealing with Hospital Bills (ILAO),https://www.illinoislegalaid.org/legal-information/dealing-hospital-bills,money_debt,illinois,High,hospital bill rights and payment plans
Understanding Collection-Proof Status (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-collection-proof-status,money_debt,illinois,High,when income/assets are judgment-proof
Money and Property Debtors Can Protect (ILAO),https://www.illinoislegalaid.org/legal-information/money-and-property-debtors-can-protect-collection-agent,money_debt,illinois,High,exemptions from garnishment
Handling a Wage Garnishment or Third Party Citation (ILAO),https://www.illinoislegalaid.org/legal-information/handling-wage-garnishment-or-third-party-citation,money_debt,illinois,Medium,bank account and wage citations
Understanding Car Repossession (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-car-repossession,money_debt,illinois,High,repossession and redemption rights
Responding to a Car Repossession (ILAO),https://www.illinoislegalaid.org/legal-information/responding-car-repossession,money_debt,illinois,Medium,steps after a repo
Bankruptcy Basics (ILAO),https://www.illinoislegalaid.org/legal-information/filing-bankruptcy-0,money_debt,illinois,High,chapter 7 vs 13 overview
Chapter 13 versus Chapter 7 Bankruptcy (ILAO),https://www.illinoislegalaid.org/legal-information/chapter-13-versus-chapter-7-bankruptcy,money_debt,illinois,Medium,choosing a chapter
Exempt Assets in Bankruptcy (ILAO),https://www.illinoislegalaid.org/legal-information/exempt-assets-bankruptcy,money_debt,illinois,Medium,property you can keep
HUD FHA 203(k) Rehabilitation Mortgage,https://www.hud.gov/hud-partners/single-family-mortgage-programs-203k,housing_repair,federal,High,buy-and-repair loan
City of Chicago Home Repair Program,https://www.chicago.gov/city/en/depts/doh/provdrs/homeowners/svcs/home-repair-program.html,housing_repair,chicago-il,High,roof/porch/accessibility repairs
City of Chicago Homeowner Resources,https://www.chicago.gov/city/en/depts/doh/provdrs/homeowners/svcs/homeowner-resources.html,housing_repair,chicago-il,Medium,directory of repair programs
Illinois Home Weatherization Assistance Program (DCEO),https://dceo.illinois.gov/communityservices/homeweatherization.html,housing_repair,illinois,High,free energy efficiency upgrades for low-income
Keep Warm Illinois - Families and Individuals,https://keepwarm.illinois.gov/state-assistance/families-and-individuals.html,housing_repair,illinois,Medium,energy bill and weatherization help
Going to Court for an Eviction Case (ILAO),https://www.illinoislegalaid.org/legal-information/understanding-eviction-tenant,housing,illinois,High,eviction process and court steps
Common Eviction Defenses (ILAO),https://www.illinoislegalaid.org/legal-information/common-eviction-defenses,housing,illinois,High,defenses to an eviction
Responding to Eviction Papers (ILAO),https://www.illinoislegalaid.org/legal-information/responding-eviction-papers,housing,illinois,High,how to answer an eviction
Rental Repair Rights and Landlord Access (ILAO),https://www.illinoislegalaid.org/legal-information/rental-repair-rights-and-landlord-access,housing,illinois,High,landlord repair duties and entry
Requesting Rental Repairs (ILAO),https://www.illinoislegalaid.org/legal-information/requesting-rental-repairs,housing,illinois,Medium,how to demand repairs
Rental Living Conditions (ILAO),https://www.illinoislegalaid.org/legal-information/rental-living-conditions,housing,illinois,Medium,habitability standards
Chicago Residential Landlord Tenant Ordinance RLTO (ILAO),https://www.illinoislegalaid.org/legal-information/chicago-residential-landlord-tenant-ordinance-or-rlto,housing,chicago-il,High,plain-language RLTO summary
Lockouts and Emergency Rental Repairs (ILAO),https://www.illinoislegalaid.org/legal-information/lockouts,housing,illinois,High,illegal lockout remedies
Utility Shut Off by My Landlord (ILAO),https://www.illinoislegalaid.org/legal-information/utility-shut-my-landlord,housing,illinois,Medium,landlord utility shutoff is illegal
Source of Income Protections for Renters (ILAO),https://www.illinoislegalaid.org/legal-information/source-income-protections-renters,housing,illinois,High,voucher/source-of-income discrimination
Housing Discrimination Basics (ILAO),https://www.illinoislegalaid.org/legal-information/housing-discrimination-basics,housing,illinois,Medium,fair housing protections
Housing Choice Voucher HCV Program (ILAO),https://www.illinoislegalaid.org/legal-information/housing-choice-voucher-hcv-program,housing,illinois,High,Section 8 voucher basics
Losing a Section 8 Voucher (ILAO),https://www.illinoislegalaid.org/legal-information/losing-section-8-voucher,housing,illinois,Medium,voucher termination and hearings
Landlord-Tenant Laws (ILAO),https://www.illinoislegalaid.org/legal-information/landlord-tenant-laws,housing,illinois,Medium,general landlord-tenant FAQ
Cook County Just Housing Amendment,https://www.cookcountyil.gov/content/just-housing-amendment-human-rights-ordinance,housing,cook-county-il,Medium,criminal-history screening protections
Getting or Returning a Security Deposit (ILAO),https://www.illinoislegalaid.org/legal-information/getting-or-returning-security-deposit,housing,illinois,High,security deposit return rules
Tenants Rights and Rental Housing (ILAO),https://www.illinoislegalaid.org/legal-information/tenants-rights-and-rental-housing,housing,illinois,High,tenant rights hub
Unemployment Insurance Eligibility (IDES),https://ides.illinois.gov/unemployment/insurance/ui-eligibility.html,benefits,illinois,High,who qualifies for unemployment
File an Unemployment Claim (IDES),https://ides.illinois.gov/unemployment/file-a-claim.html,benefits,illinois,Medium,how to file
Social Security Benefit Basics (ILAO),https://www.illinoislegalaid.org/legal-information/social-security-benefit-basics,benefits,illinois,High,SSA programs overview
Overview of Social Security Programs (ILAO),https://www.illinoislegalaid.org/legal-information/overview-social-security-programs,benefits,illinois,Medium,SSDI vs SSI vs retirement
Eligible for SSI Benefits (ILAO),https://www.illinoislegalaid.org/legal-information/eligible-supplemental-security-income-or-ssi-benefits,benefits,illinois,High,SSI eligibility
Apply for SSI and SSDI (ILAO),https://www.illinoislegalaid.org/legal-information/apply-ssi-and-ssdi-local-social-security-office,benefits,illinois,Medium,how to apply for disability
Food Assistance for Women Infants and Children WIC (ILAO),https://www.illinoislegalaid.org/legal-information/assistance-women-infants-and-children-or-wic,benefits,illinois,Medium,WIC eligibility plain language
Health Insurance under the Affordable Care Act (ILAO),https://www.illinoislegalaid.org/legal-information/health-insurance-under-affordable-care-act,benefits,illinois,Medium,ACA marketplace basics
Get Covered Illinois Marketplace,https://getcovered.illinois.gov/,benefits,illinois,Medium,official ACA marketplace
No Surprises Act (ILAO),https://www.illinoislegalaid.org/legal-information/no-surprises-acts,benefits,illinois,Medium,surprise medical bill protections
Get Legal Help (ILAO),https://www.illinoislegalaid.org/get-legal-help,resources,illinois,High,how to find free legal aid
Free Civil Legal Aid (ILAO),https://www.illinoislegalaid.org/legal-information/can-i-receive-free-civil-legal-aid,resources,illinois,Medium,who qualifies for free legal aid
