"key","English (source)","Vietnamese","status (OK / FIX)","suggested correction","notes"
"language.label","LANGUAGE","NGÔN NGỮ","","",""
"language.selectAria","Language selection","Chọn ngôn ngữ","","",""
"mt.notice","These translations are machine-assisted and being reviewed by native speakers.","Các bản dịch này được hỗ trợ bằng máy và đang được người bản ngữ xem xét.","","",""
"skip.toMain","Skip to main content","Bỏ qua đến nội dung chính","","",""
"brand.homeAria","Rights Within Reach home","Trang chủ Rights Within Reach","","",""
"nav.home","Home","Trang chủ","","",""
"nav.topics","Topics","Chủ đề","","",""
"nav.resources","Resources","Tài nguyên","","",""
"nav.askQuestion","Ask a question →","Đặt câu hỏi →","","",""
"nav.mainAria","Main","Chính","","",""
"nav.contrast","High contrast","Tương phản cao","","",""
"deadline.crumb","Deadline helper","Công cụ tính hạn chót","","",""
"deadline.title","Deadline helper","Công cụ tính hạn chót","","",""
"deadline.sub","Enter the date something happened and how many days you have. This is a date calculator, not legal advice.","Nhập ngày sự việc xảy ra và bạn có bao nhiêu ngày. Đây là công cụ tính ngày, không phải tư vấn pháp lý.","","",""
"deadline.startDate","Start date","Ngày bắt đầu","","",""
"deadline.days","Number of days","Số ngày","","",""
"deadline.bizOnly","Count business days only (skip weekends)","Chỉ tính ngày làm việc (bỏ qua cuối tuần)","","",""
"deadline.calc","Calculate deadline","Tính hạn chót","","",""
"deadline.result","Your deadline is:","Hạn chót của bạn là:","","",""
"deadline.disclaimer","This tool just adds days to a date. When the clock starts, whether weekends and holidays count, and the exact number of days depend on your situation and the law. Confirm with your answer above or a legal aid organization.","Công cụ này chỉ cộng số ngày vào một ngày. Việc đồng hồ bắt đầu khi nào, có tính cuối tuần và ngày lễ hay không, và số ngày chính xác phụ thuộc vào tình huống của bạn và luật pháp. Hãy xác nhận với câu trả lời ở trên hoặc một tổ chức trợ giúp pháp lý.","","",""
"footer.deadline","Deadline helper","Công cụ tính hạn chót","","",""
"nav.biggerText","Toggle larger text size","Bật/tắt cỡ chữ lớn hơn","","",""
"bottomnav.housing","Housing","Nhà ở","","",""
"bottomnav.money","Money","Tiền bạc","","",""
"bottomnav.repairs","Repairs","Sửa chữa","","",""
"bottomnav.benefits","Benefits","Phúc lợi","","",""
"bottomnav.resources","Resources","Tài nguyên","","",""
"bottomnav.ask","Ask","Hỏi","","",""
"bottomnav.aria","Section navigation","Điều hướng mục","","",""
"chat.back","Back","Quay lại","","",""
"chat.goBack","Go back","Quay lại","","",""
"chat.readAloud","Read this page aloud","Đọc to trang này","","",""
"chat.readAnswer","Read this answer aloud","Đọc to câu trả lời này","","",""
"chat.stopReading","Stop reading","Dừng đọc","","",""
"chat.answerLabel","Answer","Câu trả lời","","",""
"chat.nextSteps","Next steps","Các bước tiếp theo","","",""
"chat.whoToContact","Who to contact & how","Liên hệ ai và cách nào","","",""
"chat.welcome","Ask about housing, money, home repairs, or public benefits. Every answer cites the law and points you to real help — in your language.","Hỏi về nhà ở, tiền bạc, sửa chữa nhà, hoặc phúc lợi công. Mỗi câu trả lời đều trích dẫn luật và hướng bạn đến trợ giúp thật — bằng ngôn ngữ của bạn.","","",""
"chat.suggestAria","Suggested follow-up questions","Câu hỏi tiếp theo được gợi ý","","",""
"chat.refuseAria","Out of scope — who to call instead","Ngoài phạm vi — nên gọi ai","","",""
"triage.aria","Guided questions","Câu hỏi có hướng dẫn","","",""
"chat.confidence","Confidence","Độ tin cậy","","",""
"chat.confidenceHelp","How well our sources support this answer","Mức độ các nguồn của chúng tôi hỗ trợ câu trả lời này","","",""
"chat.conf.high","High","Cao","","",""
"chat.conf.medium","Medium — double-check to be sure","Trung bình — hãy kiểm tra lại","","",""
"chat.conf.low","Low — please verify with an organization","Thấp — vui lòng xác minh với một tổ chức","","",""
"chat.webSource","Web","Web","","",""
"chat.webChecked","Checked on the web","Đã kiểm tra trên web","","",""
"speak.noVoice","No voice for this language is installed on your device, so it will be read in a default voice.","Thiết bị của bạn chưa cài giọng cho ngôn ngữ này, nên sẽ được đọc bằng giọng mặc định.","","",""
"triage.area.prompt","Where do you live? This helps us point you to the right local help.","Bạn sống ở đâu? Điều này giúp chúng tôi hướng bạn đến trợ giúp địa phương phù hợp.","","",""
"triage.area.chicago","Chicago","Chicago","","",""
"triage.area.suburbanCook","Suburban Cook County","Ngoại ô Quận Cook","","",""
"triage.area.collar","Collar county (DuPage, Lake, Will…)","Quận lân cận (DuPage, Lake, Will…)","","",""
"triage.area.elsewhere","Elsewhere in Illinois","Nơi khác ở Illinois","","",""
"triage.zip.prompt","What is your ZIP code? (optional)","Mã ZIP của bạn là gì? (tùy chọn)","","",""
"triage.zip.placeholder","e.g. 60601","vd. 60601","","",""
"triage.zip.next","Next","Tiếp theo","","",""
"triage.subject.prompt","What is this about?","Đây là về vấn đề gì?","","",""
"triage.skip","Skip these and just ask →","Bỏ qua và hỏi luôn →","","",""
"triage.edit","Change","Thay đổi","","",""
"triage.summary","Helping you in","Đang giúp bạn ở","","",""
"chat.live","Live conversation","Cuộc trò chuyện trực tiếp","","",""
"chat.question","question so far","câu hỏi cho đến nay","","",""
"chat.questions","questions so far","câu hỏi cho đến nay","","",""
"chat.allCite","All answers cite the law","Mọi câu trả lời đều trích dẫn luật","","",""
"chat.conversationAria","Conversation","Cuộc trò chuyện","","",""
"chat.tryNext","Try asking next","Thử hỏi tiếp","","",""
"chat.suggest1","What if the notice was late?","Nếu thông báo bị trễ thì sao?","","",""
"chat.suggest2","How do I apply for SNAP?","Làm thế nào để đăng ký SNAP?","","",""
"chat.suggest3","Are there grants to fix my roof?","Có khoản trợ cấp nào để sửa mái nhà không?","","",""
"chat.placeholder","Type your question here…","Nhập câu hỏi của bạn tại đây…","","",""
"chat.typeQuestion","Type your question","Nhập câu hỏi của bạn","","",""
"chat.send","Send your question","Gửi câu hỏi của bạn","","",""
"chat.askAria","Ask a question","Đặt câu hỏi","","",""
"chat.answered","✓ Answered","✓ Đã trả lời","","",""
"chat.searching","Searching the law for you…","Đang tìm luật cho bạn…","","",""
"chat.error","Something went wrong. Please try again.","Đã xảy ra lỗi. Vui lòng thử lại.","","",""
"chat.errorTitle","Something went wrong.","Đã xảy ra lỗi.","","",""
"chat.sources","★ Sources","★ Nguồn","","",""
"chat.moreOptions","More options","Thêm tùy chọn","","",""
"chat.callNow","Call now","Gọi ngay","","",""
"chat.phone","Phone","Điện thoại","","",""
"chat.hours","Hours","Giờ","","",""
"chat.website","Website","Trang web","","",""
"chat.helpful","Was this helpful?","Điều này có hữu ích không?","","",""
"chat.yes","Yes","Có","","",""
"chat.no","No","Không","","",""
"chat.feedbackThanks","Thanks for your feedback!","Cảm ơn phản hồi của bạn!","","",""
"chat.copy","Copy","Sao chép","","",""
