"key","English (source)","Spanish","status (OK / FIX)","suggested correction","notes"
"language.label","LANGUAGE","IDIOMA","","",""
"language.selectAria","Language selection","Selección de idioma","","",""
"mt.notice","These translations are machine-assisted and being reviewed by native speakers.","Estas traducciones son asistidas por máquina y están siendo revisadas por hablantes nativos.","","",""
"skip.toMain","Skip to main content","Saltar al contenido principal","","",""
"brand.homeAria","Rights Within Reach home","Inicio de Rights Within Reach","","",""
"nav.home","Home","Inicio","","",""
"nav.topics","Topics","Temas","","",""
"nav.resources","Resources","Recursos","","",""
"nav.askQuestion","Ask a question →","Haz una pregunta →","","",""
"nav.mainAria","Main","Principal","","",""
"nav.contrast","High contrast","Alto contraste","","",""
"deadline.crumb","Deadline helper","Calculadora de plazos","","",""
"deadline.title","Deadline helper","Calculadora de plazos","","",""
"deadline.sub","Enter the date something happened and how many days you have. This is a date calculator, not legal advice.","Ingresa la fecha en que ocurrió algo y cuántos días tienes. Es una calculadora de fechas, no asesoría legal.","","",""
"deadline.startDate","Start date","Fecha de inicio","","",""
"deadline.days","Number of days","Número de días","","",""
"deadline.bizOnly","Count business days only (skip weekends)","Contar solo días hábiles (omitir fines de semana)","","",""
"deadline.calc","Calculate deadline","Calcular plazo","","",""
"deadline.result","Your deadline is:","Tu plazo es:","","",""
"deadline.disclaimer","This tool just adds days to a date. When the clock starts, whether weekends and holidays count, and the exact number of days depend on your situation and the law. Confirm with your answer above or a legal aid organization.","Esta herramienta solo suma días a una fecha. Cuándo empieza el conteo, si cuentan fines de semana y feriados, y el número exacto de días dependen de tu situación y de la ley. Confírmalo con tu respuesta o con una organización de ayuda legal.","","",""
"footer.deadline","Deadline helper","Calculadora de plazos","","",""
"nav.biggerText","Toggle larger text size","Cambiar a texto más grande","","",""
"bottomnav.housing","Housing","Vivienda","","",""
"bottomnav.money","Money","Dinero","","",""
"bottomnav.repairs","Repairs","Reparaciones","","",""
"bottomnav.benefits","Benefits","Beneficios","","",""
"bottomnav.resources","Resources","Recursos","","",""
"bottomnav.ask","Ask","Preguntar","","",""
"bottomnav.aria","Section navigation","Navegación de secciones","","",""
"chat.back","Back","Atrás","","",""
"chat.goBack","Go back","Regresar","","",""
"chat.readAloud","Read this page aloud","Leer esta página en voz alta","","",""
"chat.readAnswer","Read this answer aloud","Leer esta respuesta en voz alta","","",""
"chat.stopReading","Stop reading","Detener la lectura","","",""
"chat.answerLabel","Answer","Respuesta","","",""
"chat.nextSteps","Next steps","Próximos pasos","","",""
"chat.whoToContact","Who to contact & how","A quién contactar y cómo","","",""
"chat.welcome","Ask about housing, money, home repairs, or public benefits. Every answer cites the law and points you to real help — in your language.","Pregunta sobre vivienda, dinero, reparaciones del hogar o beneficios públicos. Cada respuesta cita la ley y te dirige a ayuda real, en tu idioma.","","",""
"chat.suggestAria","Suggested follow-up questions","Preguntas de seguimiento sugeridas","","",""
"chat.refuseAria","Out of scope — who to call instead","Fuera de alcance: a quién llamar","","",""
"triage.aria","Guided questions","Preguntas guiadas","","",""
"chat.confidence","Confidence","Confianza","","",""
"chat.confidenceHelp","How well our sources support this answer","Qué tan bien respaldan esta respuesta nuestras fuentes","","",""
"chat.conf.high","High","Alta","","",""
"chat.conf.medium","Medium — double-check to be sure","Media — confírmalo para estar seguro","","",""
"chat.conf.low","Low — please verify with an organization","Baja — verifícalo con una organización","","",""
"chat.webSource","Web","Web","","",""
"chat.webChecked","Checked on the web","Verificado en la web","","",""
"speak.noVoice","No voice for this language is installed on your device, so it will be read in a default voice.","No hay una voz para este idioma instalada en tu dispositivo, así que se leerá con una voz predeterminada.","","",""
"triage.area.prompt","Where do you live? This helps us point you to the right local help.","¿Dónde vives? Esto nos ayuda a dirigirte a la ayuda local correcta.","","",""
"triage.area.chicago","Chicago","Chicago","","",""
"triage.area.suburbanCook","Suburban Cook County","Suburbios del Condado de Cook","","",""
"triage.area.collar","Collar county (DuPage, Lake, Will…)","Condado vecino (DuPage, Lake, Will…)","","",""
"triage.area.elsewhere","Elsewhere in Illinois","Otro lugar en Illinois","","",""
"triage.zip.prompt","What is your ZIP code? (optional)","¿Cuál es tu código postal? (opcional)","","",""
"triage.zip.placeholder","e.g. 60601","ej. 60601","","",""
"triage.zip.next","Next","Siguiente","","",""
"triage.subject.prompt","What is this about?","¿De qué se trata?","","",""
"triage.skip","Skip these and just ask →","Omitir y solo preguntar →","","",""
"triage.edit","Change","Cambiar","","",""
"triage.summary","Helping you in","Ayudándote en","","",""
"chat.live","Live conversation","Conversación en vivo","","",""
"chat.question","question so far","pregunta hasta ahora","","",""
"chat.questions","questions so far","preguntas hasta ahora","","",""
"chat.allCite","All answers cite the law","Todas las respuestas citan la ley","","",""
"chat.conversationAria","Conversation","Conversación","","",""
"chat.tryNext","Try asking next","Prueba a preguntar","","",""
"chat.suggest1","What if the notice was late?","¿Y si el aviso llegó tarde?","","",""
"chat.suggest2","How do I apply for SNAP?","¿Cómo solicito SNAP?","","",""
"chat.suggest3","Are there grants to fix my roof?","¿Hay ayudas para arreglar mi techo?","","",""
"chat.placeholder","Type your question here…","Escribe tu pregunta aquí…","","",""
"chat.typeQuestion","Type your question","Escribe tu pregunta","","",""
"chat.send","Send your question","Enviar tu pregunta","","",""
"chat.askAria","Ask a question","Haz una pregunta","","",""
"chat.answered","✓ Answered","✓ Respondido","","",""
"chat.searching","Searching the law for you…","Buscando en la ley para ti…","","",""
"chat.error","Something went wrong. Please try again.","Algo salió mal. Por favor, inténtalo de nuevo.","","",""
"chat.errorTitle","Something went wrong.","Algo salió mal.","","",""
"chat.sources","★ Sources","★ Fuentes","","",""
"chat.moreOptions","More options","Más opciones","","",""
"chat.callNow","Call now","Llamar ahora","","",""
"chat.phone","Phone","Teléfono","","",""
"chat.hours","Hours","Horario","","",""
"chat.website","Website","Sitio web","","",""
"chat.helpful","Was this helpful?","¿Te resultó útil?","","",""
"chat.yes","Yes","Sí","","",""
"chat.no","No","No","","",""
"chat.feedbackThanks","Thanks for your feedback!","¡Gracias por tu comentario!","","",""
"chat.copy","Copy","Copiar","","",""
"chat.copied","Copied!","¡Copiado!","","",""
"chat.print","Print","Imprimir","","",""
"chat.speakQuestion","Speak your question","Habla tu pregunta","","",""
"chat.stopListening","Stop listening","Dejar de escuchar","","",""
"chat.refuseBody","This kind of case needs a lawyer who knows your full situation. I only cover housing, money, repairs, and benefits.","Este tipo de caso necesita un abogado que conozca toda tu situación. Yo solo cubro vivienda, dinero, reparaciones y beneficios.","","",""
"footer.tagline","Free, plain-language legal information for Illinois residents. Built in Chicago with input from legal aid partners.","Información legal gratuita y en lenguaje sencillo para residentes de Illinois. Creado en Chicago con aportes de socios de asistencia legal.","","",""
"footer.topics","Topics","Temas","","",""
"footer.help","Help","Ayuda","","",""
"footer.about","About","Acerca de","","",""
"footer.housingRent","Housing & Rent","Vivienda y renta","","",""
"footer.moneyDebt","Money & Debt","Dinero y deudas","","",""
"footer.homeRepairs","Home Repairs","Reparaciones del hogar","","",""
"footer.publicBenefits","Public Benefits","Beneficios públicos","","",""
"footer.askQuestion","Ask a question","Haz una pregunta","","",""
"footer.findHelp","Find legal help","Buscar ayuda legal","","",""
"footer.howToUse","How to use this site","Cómo usar este sitio","","",""
"footer.whoWeAre","Who we are","Quiénes somos","","",""
"footer.ourPartners","Our partners","Nuestros socios","","",""
"footer.contact","Contact","Contacto","","",""
"footer.disclaimer","★ Rights Within Reach gives general legal information, not legal advice. ★ Built in Chicago at the University of Chicago Tech Showcase.","★ Rights Within Reach ofrece información legal general, no asesoría legal. ★ Creado en Chicago en el Tech Showcase de la Universidad de Chicago.","","",""
"home.eyebrow.forIL","For Illinois residents","Para residentes de Illinois","","",""
"home.hero.title","Know your rights.","Conoce tus derechos.","","",""
"home.hero.sub","Free, plain-language information about housing, money, repairs, and benefits. In your language.","Información gratuita y en lenguaje sencillo sobre vivienda, dinero, reparaciones y beneficios. En tu idioma.","","",""
"home.hero.start","Start asking","Empieza a preguntar","","",""
"home.hero.how","How it works","Cómo funciona","","",""
"home.sticker.free","100% Free","100% Gratis","","",""
"home.sticker.cited","Cited from law","Citado de la ley","","",""
"home.sticker.langs","5 Languages","5 idiomas","","",""
"home.about.eyebrow","What is Rights Within Reach?","¿Qué es Rights Within Reach?","","",""
"home.about.title","A free tool that meets you where you are.","Una herramienta gratuita que te encuentra donde estás.","","",""
"home.about.sub","When you are facing an eviction notice, a debt collector call, or a broken furnace, you do not have hours to search government websites. Rights Within Reach is a free chatbot that answers your legal questions in plain language and points you to the people who can help.","Cuando enfrentas un aviso de desalojo, la llamada de un cobrador o una calefacción averiada, no tienes horas para buscar en sitios del gobierno. Rights Within Reach es un chatbot gratuito que responde tus preguntas legales en lenguaje sencillo y te conecta con las personas que pueden ayudar.","","",""
"home.about.p1.lead","We are not a lawyer.","No somos abogados.","","",""
"home.about.p1.body","We are a tool that takes the law and translates it into plain language anyone can understand. Every answer cites the actual statute it comes from, and every answer ends with a referral to a real legal aid organization that can help with your specific case.","Somos una herramienta que toma la ley y la traduce a un lenguaje sencillo que cualquiera puede entender. Cada respuesta cita la ley exacta de la que proviene y termina con una referencia a una organización real de asistencia legal que puede ayudar con tu caso.","","",""
"home.about.p2.lead","We are built for Illinois.","Estamos hechos para Illinois.","","",""
"home.about.p2.body","Every answer is grounded in Illinois statutes, Chicago ordinances, federal benefits rules, and program guidelines. We cover housing and eviction, debt and utilities, home repair grants, and public benefits like SNAP and Medicaid.","Cada respuesta se basa en las leyes de Illinois, las ordenanzas de Chicago, las reglas federales de beneficios y las guías de los programas. Cubrimos vivienda y desalojo, deudas y servicios públicos, ayudas para reparaciones del hogar y beneficios públicos como SNAP y Medicaid.","","",""
"home.about.p3.lead","We are built for everyone.","Estamos hechos para todos.","","",""
"home.about.p3.body","Our interface works on a low-end phone over slow internet. Every page reads aloud. You can switch to Spanish, Chinese, Tagalog, or Vietnamese any time. You can make the text bigger with one button. We collect no personal information.","Nuestra página funciona en un teléfono sencillo con internet lento. Cada página se lee en voz alta. Puedes cambiar a español, chino, tagalo o vietnamita en cualquier momento. Puedes agrandar el texto con un solo botón. No recopilamos ninguna información personal.","","",""
"home.about.p4.lead","We were built with care.","Fuimos creados con cuidado.","","",""
"home.about.p4.body","Rights Within Reach was created at the University of Chicago Tech Showcase in partnership with Illinois Legal Aid Online, the Lawyers' Committee for Better Housing, and the Stanford Legal Design Lab.","Rights Within Reach se creó en el Tech Showcase de la Universidad de Chicago en colaboración con Illinois Legal Aid Online, el Lawyers' Committee for Better Housing y el Stanford Legal Design Lab.","","",""
"home.fact.sources.label","Sources","Fuentes","","",""
"home.fact.sources.value","Illinois statutes, Chicago ordinances, federal guidance, and program documentation","Leyes de Illinois, ordenanzas de Chicago, guías federales y documentación de programas","","",""
"home.fact.languages.label","Languages","Idiomas","","",""
"home.fact.languages.value","English, Spanish, Chinese, Tagalog, and Vietnamese","Inglés, español, chino, tagalo y vietnamita","","",""
"home.fact.categories.label","Categories","Categorías","","",""
"home.fact.categories.value","Housing, money and debt, home repairs, and public benefits","Vivienda, dinero y deudas, reparaciones del hogar y beneficios públicos","","",""
"home.fact.cost.label","Cost","Costo","","",""
"home.fact.cost.value","Always free. No login. No personal information collected.","Siempre gratis. Sin cuenta. No se recopila información personal.","","",""
"home.how.eyebrow","How the chatbot works","Cómo funciona el chatbot","","",""
"home.how.title","Ask in your own words. Get a clear answer.","Pregunta con tus propias palabras. Recibe una respuesta clara.","","",""
"home.how.sub","You do not need to know legal words. You do not need to know which law applies. You just need to ask. Here is what happens after you type your question.","No necesitas saber términos legales. No necesitas saber qué ley aplica. Solo necesitas preguntar. Esto es lo que pasa después de que escribes tu pregunta.","","",""
"home.how.s1.title","You ask","Tú preguntas","","",""
"home.how.s1.desc","Type your question in your own words. ""Can my landlord raise the rent?"" works. So does ""my furnace broke and I am cold.""","Escribe tu pregunta con tus propias palabras. ""¿Puede mi casero subir la renta?"" funciona. También ""se descompuso mi calefacción y tengo frío.""","","",""
"home.how.s2.title","We find the law","Buscamos la ley","","",""
"home.how.s2.desc","We search the actual Illinois statutes, Chicago ordinances, or program rules that apply to your question.","Buscamos las leyes de Illinois, las ordenanzas de Chicago o las reglas del programa que aplican a tu pregunta.","","",""
"home.how.s3.title","You get a clear answer","Recibes una respuesta clara","","",""
"home.how.s3.desc","We give you a plain-language answer with the exact law cited, so you can verify it yourself or show it to a lawyer.","Te damos una respuesta en lenguaje sencillo con la ley exacta citada, para que puedas verificarla tú mismo o mostrársela a un abogado.","","",""
"home.how.s4.title","You find help","Encuentras ayuda","","",""
"home.how.s4.desc","Every answer ends with a real legal aid organization you can call for help with your specific situation.","Cada respuesta termina con una organización real de asistencia legal a la que puedes llamar para tu situación específica.","","",""
"home.walk.eyebrow","How to use this site","Cómo usar este sitio","","",""
"home.walk.title","Five steps from question to help.","Cinco pasos de la pregunta a la ayuda.","","",""
"home.walk.sub","Whether you are facing an emergency or just curious about your rights, here is how to get the most from Rights Within Reach.","Ya sea que enfrentes una emergencia o solo tengas curiosidad por tus derechos, así puedes aprovechar al máximo Rights Within Reach.","","",""
"home.walk.s1.lead","Pick a language.","Elige un idioma.","","",""
"home.walk.s1.body","The bar at the top of every page lets you switch between English, Spanish, Chinese, Tagalog, and Vietnamese. The whole site changes, not just the menu.","La barra en la parte superior de cada página te permite cambiar entre inglés, español, chino, tagalo y vietnamita. Todo el sitio cambia, no solo el menú.","","",""
"home.walk.s2.lead","Pick a topic, or just start typing.","Elige un tema, o simplemente empieza a escribir.","","",""
"home.walk.s2.body","You can either pick one of the four topic cards on this page, or jump straight to the chatbot and ask anything.","Puedes elegir una de las cuatro tarjetas de temas en esta página, o ir directo al chatbot y preguntar lo que sea.","","",""
"home.walk.s3.lead","Read the short answer.","Lee la respuesta corta.","","",""
"home.walk.s3.body","The chatbot gives you a clear answer with the actual law it comes from. Big numbers and key dates are pulled out so you can scan them quickly.","El chatbot te da una respuesta clara con la ley exacta de la que proviene. Los números grandes y las fechas clave se resaltan para que los veas rápido.","","",""
"home.walk.s4.lead","Tap to read more.","Toca para leer más.","","",""
"home.walk.s4.body","Every answer links to a full topic page with deeper information, common questions, and the full list of programs or rules that apply.","Cada respuesta enlaza a una página completa del tema con más información, preguntas comunes y la lista completa de programas o reglas que aplican.","","",""
"home.walk.s5.lead","Get connected to a real person.","Conéctate con una persona real.","","",""
"home.walk.s5.body","Every answer and every topic page ends with one or more legal aid organizations you can call for help. We tell you their phone number, their hours, and what to bring.","Cada respuesta y cada página de tema termina con una o más organizaciones de asistencia legal a las que puedes llamar. Te decimos su número de teléfono, su horario y qué llevar.","","",""
"home.topics.eyebrow","Choose a topic","Elige un tema","","",""
"home.topics.title","What can we help with?","¿En qué podemos ayudar?","","",""
"home.topics.mostAsked","Most asked","Más consultado","","",""
"home.topics.new","New","Nuevo","","",""
"home.hero.svg1","""Can my","«¿Puede mi","","",""
"home.hero.svg2","landlord do","arrendador","","",""
"home.hero.svg3","that?""","hacer eso?»","","",""
"home.topic.housing.aria","Housing and rent topic, most asked","Tema de vivienda y renta, el más consultado","","",""
"home.topic.benefits.aria","Public benefits topic, new","Tema de beneficios públicos, nuevo","","",""
"ticker.free","Free to use","Gratis","","",""
"ticker.plain","Plain language","Lenguaje sencillo","","",""
"ticker.multilingual","Multilingual","Multilingüe","","",""
"ticker.cited","Cited sources","Fuentes citadas","","",""
"ticker.noLogin","No login needed","Sin registro","","",""
"ticker.chicago","Built in Chicago","Hecho en Chicago","","",""
"ticker.play","Play the scrolling banner","Reproducir el banner","","",""
"ticker.pause","Pause the scrolling banner","Pausar el banner","","",""
"home.topics.readMore","Read more →","Leer más →","","",""
"home.topic.housing.title","Housing & rent","Vivienda y renta","","",""
"home.topic.housing.desc","Eviction, deposits, repairs, leases, rent increases","Desalojo, depósitos, reparaciones, contratos, aumentos de renta","","",""
"home.topic.money.title","Money & debt","Dinero y deudas","","",""
"home.topic.money.desc","Wages, utilities, debt collectors, garnishment","Salarios, servicios públicos, cobradores, embargo de salario","","",""
"home.topic.repairs.title","Home repairs","Reparaciones del hogar","","",""
"home.topic.repairs.desc","Grants for roof, heating, plumbing, accessibility","Ayudas para techo, calefacción, plomería, accesibilidad","","",""
"home.topic.benefits.title","Public benefits","Beneficios públicos","","",""
"home.topic.benefits.desc","SNAP, Medicaid, All Kids, energy assistance","SNAP, Medicaid, All Kids, ayuda de energía","","",""
"home.partners.eyebrow","Built in partnership with","Creado en colaboración con","","",""
"home.partners.title","Real legal aid organizations across Illinois.","Organizaciones reales de asistencia legal en todo Illinois.","","",""
